internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22692067,Grus rubicunda,Grus rubicundus Turbott (1990),Grus,rubicundus,Turbott (1990),,
22692067,Grus rubicunda,"Grus rubicunda (Perry, 1810)",Grus,rubicunda,"(Perry, 1810)",,
22692067,Grus rubicunda,"Antigone rubicunda (Perry, 1810)",Antigone,rubicunda,"(Perry, 1810)",,
22692288,Rallicula rubra,"Rallina rubra (Schlegel, 1871)",Rallina,rubra,"(Schlegel, 1871)",,
22692293,Rallicula leucospila,"Rallina leucospila (Salvadori, 1875)",Rallina,leucospila,"(Salvadori, 1875)",,
22692298,Rallicula forbesi,"Rallina forbesi (Sharpe, 1887)",Rallina,forbesi,"(Sharpe, 1887)",,
22692320,Rufirallus castaneiceps,"Anurolimnas castaneiceps Sclater & Salvin, 1868",Anurolimnas,castaneiceps,"Sclater & Salvin, 1868",,
22692323,Rufirallus viridis,Laterallus viridis Stotz et al. (1996),Laterallus,viridis,Stotz et al. (1996),,
22692323,Rufirallus viridis,Laterallus viridis BirdLife International (2004),Laterallus,viridis,BirdLife International (2004),,
22692323,Rufirallus viridis,"Anurolimnas viridis (Müller, 1776)",Anurolimnas,viridis,"(Müller, 1776)",,
22692330,Porzana fasciata,Laterallus fasciatus Stotz et al. (1996),Laterallus,fasciatus,Stotz et al. (1996),,
22692330,Porzana fasciata,Laterallus fasciatus BirdLife International (2004),Laterallus,fasciatus,BirdLife International (2004),,
22692330,Porzana fasciata,"Anurolimnas fasciatus (Sclater &amp; Salvin, 1868)",Anurolimnas,fasciatus,"(Sclater &amp; Salvin, 1868)",,
22692388,Gallirallus lafresnayanus,"Tricholimnas lafresnayanus ssp. lafresnayanus (Verreaux & Des Murs, 1860) — Collar and Andrew (1988)",Tricholimnas,lafresnayanus,,subspecies,"(Verreaux & Des Murs, 1860) — Collar and Andrew (1988)"
22692395,Hypotaenidia sylvestris,"Gallirallus sylvestris (Sclater, 1869)",Gallirallus,sylvestris,"(Sclater, 1869)",,
22692395,Hypotaenidia sylvestris,"Tricholimnas sylvestris (Sclater, 1869) — Collar and Andrew (1988)",Tricholimnas,sylvestris,"(Sclater, 1869) — Collar and Andrew (1988)",,
22692395,Hypotaenidia sylvestris,"Ocydromus sylvestris Sclater, 1869",Ocydromus,sylvestris,"Sclater, 1869",,
22692425,Hypotaenidia philippensis,"Gallirallus philippensis (Linnaeus, 1766)",Gallirallus,philippensis,"(Linnaeus, 1766)",,
22692425,Hypotaenidia philippensis,Rallus philippensis Turbott (1990),Rallus,philippensis,Turbott (1990),,
22692425,Hypotaenidia philippensis,"Gallirallus sharpei (Buttikofer, 1893)",Gallirallus,sharpei,"(Buttikofer, 1893)",,
22692438,Hypotaenidia rovianae,"Gallirallus rovianae Diamond, 1991",Gallirallus,rovianae,"Diamond, 1991",,
22692447,Hypotaenidia wakensis,"Gallirallus wakensis (Rothschild, 1903)",Gallirallus,wakensis,"(Rothschild, 1903)",,
22692450,Hypotaenidia pacifica,"Gallirallus pacificus (Gmelin, 1789)",Gallirallus,pacificus,"(Gmelin, 1789)",,
22692455,Hypotaenidia dieffenbachii,"Gallirallus dieffenbachii (Gray, 1843)",Gallirallus,dieffenbachii,"(Gray, 1843)",,
22692463,Lewinia striata,"Gallirallus striatus (Linnaeus, 1766)",Gallirallus,striatus,"(Linnaeus, 1766)",,
22692521,Lewinia pectoralis,Rallus pectoralis pectoralis Christidis and Boles (1994),Rallus pectoralis,pectoralis,Christidis and Boles (1994),,
22692539,Crex egregia,"Crecopsis egregia (Peters, 1854)",Crecopsis,egregia,"(Peters, 1854)",,
22692612,Zapornia akool,"Amaurornis akool (Sykes, 1832)",Amaurornis,akool,"(Sykes, 1832)",,
22692616,Amaurornis olivacea,Amaurornis olivaceus,Amaurornis olivaceus,,"Sibley and Monroe (1990, 1993)",,
22692616,Amaurornis olivacea,Amaurornis olivaceus,Amaurornis olivaceus,,BirdLife International (2004),,
22692632,Amaurornis moluccana,Amaurornis moluccanus,Amaurornis moluccanus,,"Sibley and Monroe (1990, 1993)",,
22692632,Amaurornis moluccana,Amaurornis moluccanus,Amaurornis moluccanus,,BirdLife International (2004),,
22692643,Zapornia flavirostra,"Amaurornis flavirostra (Swainson, 1837)",Amaurornis,flavirostra,"(Swainson, 1837)",,
22692643,Zapornia flavirostra,Amaurornis flavirostris Dowsett and Forbes-Watson (1993),Amaurornis,flavirostris,Dowsett and Forbes-Watson (1993),,
22692643,Zapornia flavirostra,Limnocorax flavirostra Cramp and Simmons (1977-1994),Limnocorax,flavirostra,Cramp and Simmons (1977-1994),,
22692643,Zapornia flavirostra,Limnocorax flavirostra AERC TAC (2003),Limnocorax,flavirostra,AERC TAC (2003),,
22692660,Zapornia bicolor,"Amaurornis bicolor (Walden, 1872)",Amaurornis,bicolor,"(Walden, 1872)",,
22692672,Zapornia palmeri,"Porzana palmeri (Frohawk, 1892)",Porzana,palmeri,"(Frohawk, 1892)",,
22692687,Laterallus spilopterus,"Porzana spiloptera Durnford, 1877",Porzana,spiloptera,"Durnford, 1877",,
22692693,Zapornia sandwichensis,"Porzana sandwichensis (Gmelin, 1789)",Porzana,sandwichensis,"(Gmelin, 1789)",,
22692699,Zapornia fusca,"Porzana fusca (Linnaeus, 1766)",Porzana,fusca,"(Linnaeus, 1766)",,
22692702,Zapornia paykullii,"Porzana paykullii (Ljungh, 1813)",Porzana,paykullii,"(Ljungh, 1813)",,
22692705,Zapornia tabuensis,"Porzana tabuensis (Gmelin, 1789)",Porzana,tabuensis,"(Gmelin, 1789)",,
22692708,Zapornia monasa,"Porzana monasa (Kittlitz, 1858)",Porzana,monasa,"(Kittlitz, 1858)",,
22692723,Amaurornis cinerea,Amaurornis cinerea Christidis and Boles (2008),Amaurornis,cinerea,Christidis and Boles (2008),,
22692723,Amaurornis cinerea,"Porzana cinerea (Vieillot, 1819)",Porzana,cinerea,"(Vieillot, 1819)",,
22692740,Neocrex colombiana,"Neocrex columbianus ssp. columbianus Bangs, 1898 — Stotz et al. (1996)",Neocrex,columbianus,,subspecies,"Bangs, 1898 — Stotz et al. (1996)"
22692740,Neocrex colombiana,"Neocrex colombianus ssp. colombianus Bangs, 1898 — Sibley and Monroe (1990, 1993)",Neocrex,colombianus,,subspecies,"Bangs, 1898 — Sibley and Monroe (1990, 1993)"
22692740,Neocrex colombiana,"Neocrex colombianus ssp. colombianus Bangs, 1898 — Collar and Andrew (1988)",Neocrex,colombianus,,subspecies,"Bangs, 1898 — Collar and Andrew (1988)"
22692740,Neocrex colombiana,"Neocrex colombianus ssp. colombianus Bangs, 1898 — Collar et al. (1994)",Neocrex,colombianus,,subspecies,"Bangs, 1898 — Collar et al. (1994)"
22692740,Neocrex colombiana,"Neocrex colombianus ssp. colombianus Bangs, 1898 — BirdLife International (2000)",Neocrex,colombianus,,subspecies,"Bangs, 1898 — BirdLife International (2000)"
