assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130262395,22704378,Gliciphila undulata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Gliciphila,undulata,,,,"(Sparrman, 1787)",Least Concern,,3.1,Stable,Global
130262754,22704385,Gliciphila notabilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Gliciphila,notabilis,,,,"Sharpe, 1899",Least Concern,,3.1,Stable,Global
130263393,22700617,Schiffornis major,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Schiffornis,major,,,,"Des Murs, 1856",Least Concern,,3.1,Decreasing,Global
130263636,22700629,Schiffornis virescens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Schiffornis,virescens,,,,"(Lafresnaye, 1838)",Least Concern,,3.1,Decreasing,Global
130263946,22700655,Pachyramphus albogriseus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Pachyramphus,albogriseus,,,,"Sclater, 1857",Least Concern,,3.1,Decreasing,Global
130264229,22700683,Pachyramphus validus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Pachyramphus,validus,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Decreasing,Global
130264892,22700791,Pipreola aureopectus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,aureopectus,,,,"(Lafresnaye, 1843)",Least Concern,,3.1,Decreasing,Global
130265175,22700794,Pipreola jucunda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,jucunda,,,,"Sclater, 1860",Least Concern,,3.1,Decreasing,Global
130265448,22700797,Pipreola lubomirskii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pipreola,lubomirskii,,,,"Taczanowski, 1879",Least Concern,,3.1,Decreasing,Global
130265796,22700821,Iodopleura isabellae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Iodopleura,isabellae,,,,"Parzudaki, 1847",Least Concern,,3.1,Decreasing,Global
130266152,22700891,Cotinga cayana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,cayana,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
130266486,22700894,Xipholena punicea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Xipholena,punicea,,,,"(Pallas, 1764)",Least Concern,,3.1,Decreasing,Global
130266964,22700985,Pipra aureola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pipra,aureola,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
130267257,22700974,Rupicola peruvianus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Rupicola,peruvianus,,,,"(Latham, 1790)",Least Concern,,3.1,Decreasing,Global
130267659,22700991,Pipra filicauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pipra,filicauda,,,,"Spix, 1825",Least Concern,,3.1,Stable,Global
130268089,22701003,Ceratopipra chloromeros,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,chloromeros,,,,"Tschudi, 1844",Least Concern,,3.1,Decreasing,Global
130268402,22701006,Ceratopipra cornuta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,cornuta,,,,"Spix, 1825",Least Concern,,3.1,Stable,Global
130268772,22701020,Lepidothrix suavissima,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,suavissima,,,,"Salvin & Godman, 1882",Least Concern,,3.1,Stable,Global
130269176,22701050,Lepidothrix nattereri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,nattereri,,,,"Sclater, 1865",Least Concern,,3.1,Decreasing,Global
130269515,22701062,Lepidothrix coeruleocapilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,coeruleocapilla,,,,"Tschudi, 1844",Least Concern,,3.1,Stable,Global
130269766,22701068,Antilophia galeata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Antilophia,galeata,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Decreasing,Global
130270143,22701080,Chiroxiphia boliviana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chiroxiphia,boliviana,,,,"Allen, 1889",Least Concern,,3.1,Decreasing,Global
130270372,22701093,Corapipo gutturalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Corapipo,gutturalis,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
130270658,22701115,Machaeropterus pyrocephalus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Machaeropterus,pyrocephalus,,,,"(Sclater, 1852)",Least Concern,,3.1,Decreasing,Global
130270942,22701122,Machaeropterus deliciosus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Machaeropterus,deliciosus,,,,"(Sclater, 1860)",Least Concern,,3.1,Decreasing,Global
130271310,22701125,Xenopipo atronitens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Xenopipo,atronitens,,,,"Cabanis, 1847",Least Concern,,3.1,Decreasing,Global
130271758,22701183,Neopelma pallescens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Neopelma,pallescens,,,,"(Lafresnaye, 1853)",Least Concern,,3.1,Decreasing,Global
130272056,22701216,Piprites griseiceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Piprites,griseiceps,,,,"Salvin, 1865",Least Concern,,3.1,Decreasing,Global
130272309,22701955,Phlegopsis erythroptera,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Phlegopsis,erythroptera,,,,"(Gould, 1855)",Least Concern,,3.1,Decreasing,Global
130272551,22702054,Geocerthia serrana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Geocerthia,serrana,,,,"(Taczanowski, 1875)",Least Concern,,3.1,Stable,Global
