"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"1233",1233,"176",2.02611548620477,1.71465149414415,1.4692284811856,1.47247295536885,2.02712987987365,2.0247903860812,2.03135742754487,-3.04439173977345,-5.30814831463208,-4.94942033652834,87,84,84,83
"1234",1234,"177",1.93707241484915,1.66455712449683,1.43235276557168,1.43646987595246,1.94356471349974,1.93134523354606,1.94521998685039,-2.29805438229458,-5.13113830016529,-3.83045628124307,95,89,92,88
"1235",1235,"178",1.44972153812998,1.47216735985715,1.11182095675135,1.11162546241747,1.44960323024705,1.44906785514387,1.45801168228137,0.231892111447569,-6.4659047720101,-3.52537072976708,56,53,55,52
"1236",1236,"179",1.04412954999906,1.10665117818509,1.04412954999906,1.10665117818509,1.05252585374604,1.04412954999906,1.04985817747838,0.345477666376186,NA,0.353189068793694,19,17,19,17
"1237",1237,"180",1.03445283947341,1.09999300621468,1.03445283947341,1.09999300621468,1.03865295812229,1.03445283947341,1.03813251410186,0.370211652755367,NA,0.371002078612928,19,17,19,17
"1238",1238,"181",0.524775775110457,0.524775775110457,0.524775775110457,0.524775775110457,0.524775775110457,0.524775775110457,0.524775775110457,NA,NA,NA,3,3,3,3
"1240",1240,"182",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"1243",1243,"183",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"1260",1260,"184",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"1261",1261,"185",1.32537569851324,1.13130645920128,1.22901271731495,1.11586892207372,1.32614018474947,1.32347562419588,1.32677244966412,-2.97042161613544,-1.57579156451138,-2.95697099515586,60,51,53,50
"1262",1262,"186",1.28536263049243,1.20188655025451,1.23105455276241,1.19916933158377,1.28468804855096,1.28481823981068,1.28717442941427,-3.4910522614299,-2.63839974697476,-3.87131999702387,212,198,201,197
"1263",1263,"187",1.41032219880265,1.3717369389244,1.36949451373245,1.3717369389244,1.41104660147562,1.4097011655037,1.40969416344908,-1.17546569046616,-1.52784511061883,-1.12215269711722,100,92,95,92
"1264",1264,"188",1.42046362689323,1.3871590247502,1.38446978786723,1.3871590247502,1.42003482357635,1.42050974691387,1.42072497417971,-1.0777529416043,-1.41413691727471,-1.10058822770579,105,98,100,98
"1265",1265,"189",1.56089627644484,1.46327087999112,1.50617963716232,1.41806218712152,1.56151043140206,1.56010150604485,1.55817560722836,-2.33348027062205,-1.68217438682512,-3.07982348367566,121,106,112,105
"1266",1266,"190",1.61274124694469,1.51893053837618,1.56489409468827,1.47251637262817,1.6115526848615,1.61220722630209,1.61082127569181,-1.56524147888889,-1.26492052733803,-2.23074894124585,128,104,117,103
"1267",1267,"191",1.53518837069608,1.37995891611609,1.45969799205053,1.32421698602404,1.5330180520488,1.53521519651438,1.53313714241942,-2.33371521248341,-1.97256919676067,-3.3153558559042,114,92,105,91
"1268",1268,"192",1.54494472819242,1.31977317609119,1.42791952922485,1.24013855606393,1.54411029502917,1.54415861077756,1.54258748886225,-2.7101256962453,-2.34410330178055,-3.49383990578238,79,60,71,59
"1269",1269,"193",1.66056232968229,1.3984980423477,1.66656123070974,1.3984980423477,1.65503882438886,1.65794422096723,1.65442386967643,-2.52875676342765,0.12687495867751,-2.56062030607402,46,38,42,38
"1270",1270,"194",1.03042383517177,0.983541173104756,0.983541173104756,0.983541173104756,1.02781318040438,1.02857075402218,1.0263260246319,-0.939395817030904,-0.955322627767969,-0.875328033185848,18,16,16,16
"1279",1279,"195",1.23996815896362,1.23996815896362,1.23996815896362,1.23996815896362,1.23996815896362,1.23996815896362,1.23996815896362,NA,NA,NA,39,39,39,39
"1280",1280,"196",1.19443424922692,1.19443424922692,1.19443424922692,1.19443424922692,1.19443424922692,1.19443424922692,1.19443424922692,NA,NA,NA,41,41,41,41
"1281",1281,"197",1.13730279936938,1.13730279936938,1.13730279936938,1.13730279936938,1.13730279936938,1.13730279936938,1.13730279936938,NA,NA,NA,45,45,45,45
"1282",1282,"198",1.32019133953476,1.32019133953476,1.32019133953476,1.32019133953476,1.32019133953476,1.32019133953476,1.32019133953476,NA,NA,NA,40,40,40,40
"1283",1283,"199",1.21887785796553,1.21887785796553,1.21887785796553,1.21887785796553,1.21887785796553,1.21887785796553,1.21887785796553,NA,NA,NA,65,65,65,65
"1284",1284,"200",1.24876724487301,1.24876724487301,1.24876724487301,1.24876724487301,1.24876724487301,1.24876724487301,1.24876724487301,NA,NA,NA,60,60,60,60
"1285",1285,"201",1.14547995912021,1.14056826628152,1.14642794809522,1.14056826628152,1.14362779840294,1.14501688898118,1.14607045982504,-0.0697901668128361,0.0561943266783632,-0.136287071607989,55,52,54,52
"1286",1286,"202",1.40924411155213,1.40882221001261,1.40882221001261,1.40882221001261,1.40723011979591,1.40931659980528,1.41050436518946,0.0184803967291775,-0.00577839839834744,-0.0201903508668426,21,20,20,20
"1289",1289,"203",0.852122515294288,0,0.852122515294288,0,0,0.852122515294288,0,NA,NA,NA,2,1,2,1
"1292",1292,"204",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"1297",1297,"205",2.29551348799246,1.06323153558785,1.16613867218498,1.04868153334397,2.26695116502029,2.28794924383591,2.27794467116169,-3.82510593907395,-5.2357747764405,-3.61561137318967,53,37,45,35
"1298",1298,"206",2.0718076787671,1.04252273864691,1.13238950114364,1.02776503718874,2.06758537399537,2.06428515295989,2.06835349756141,-3.80872687775912,-5.53656723286278,-3.51767419331843,63,45,54,42
"1299",1299,"207",2.32492463411258,1.08062560435347,1.18587379586387,1.0654430643348,2.30411041749847,2.32269894450476,2.31328626638656,-3.32217976544805,-5.25418873758117,-3.16578681071656,51,33,43,31
"1300",1300,"208",1.92903722640182,1.02028588163649,1.12492358147339,1.0008930901725,1.91592329220848,1.93199840907275,1.92028881807999,-3.35838846387918,-5.88517467029942,-3.37536844980148,54,37,48,36
