"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"19612",19612,"191",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19613",19613,"192",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19614",19614,"193",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19615",19615,"194",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19616",19616,"195",0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,NA,NA,NA,2,2,2,2
"19617",19617,"196",0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,NA,NA,NA,2,2,2,2
"19620",19620,"197",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19820",19820,"198",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19821",19821,"199",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19822",19822,"200",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19823",19823,"201",1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,1.14443671078926,NA,NA,NA,2,2,2,2
"19824",19824,"202",1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,1.42880168295003,NA,NA,NA,6,6,6,6
"19825",19825,"203",1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,1.29514815256296,NA,NA,NA,7,7,7,7
"19848",19848,"204",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19849",19849,"205",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19963",19963,"206",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19964",19964,"207",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19965",19965,"208",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19966",19966,"209",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19967",19967,"210",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19968",19968,"211",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
